ID,Gender,Education,Household income,Household size,Method,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd,Shortest distance,Height diff,LULC
66,male,4,250000,4,waterboard,0,75,12,450,often,good,500,1,1,1,1,120,0,0,0
67,female,3,300000,6,inyard,0,75,5,500,often,good,600,1,1,0,1,130,0,0,0
68,male,2,350000,7,inyard,0,75,7,285,often,good,300,1,1,1,1,80,0,0,0
69,female,4,400000,8,inyard,0,75,7,285,often,good,300,1,1,1,1,80,0,0,0
70,male,4,450000,6,waterboard,0,75,12,360,often,good,400,0,0,0,0,100,0,0,0
71,female,3,200000,5,waterboard,0,75,12,480,not_often,fair,500,1,1,1,1,150,0,0,0
72,female,4,450000,4,inyard,0,75,13,720,not_often,fair,800,1,1,1,1,180,0,0,0
73,male,3,200000,8,waterboard,0,75,6,330,often,fair,400,1,1,0,1,90,0,0,0
74,female,2,250000,4,delivered,0,75,13,690,often,fair,700,1,1,1,1,180,0,0,0
75,male,4,300000,6,waterboard,0,75,9,285,often,good,300,1,1,0,3,80,0,0,0
76,female,2,350000,7,waterboard,0,75,13,240,not_often,good,300,1,1,1,1,70,0,0,0
77,female,3,250000,8,inyard,0,75,12,360,not_often,fair,400,1,1,1,1,100,0,0,0
78,male,3,300000,6,inyard,0,75,13,450,not_often,good,500,1,1,1,1,100,0,0,0
79,female,4,300000,7,inyard,0,75,12,360,often,fair,400,1,1,1,1,100,0,0,0
80,female,4,300000,5,waterboard,0,75,12,600,often,good,700,0,0,0,0,140,0,0,0
81,male,3,350000,4,waterboard,0,75,11,550,not_often,good,600,1,1,1,1,170,0,0,0
82,female,4,400000,8,inyard,0,75,13,285,often,fair,300,1,1,1,1,80,0,0,0
83,male,3,450000,4,waterboard,0,75,13,650,often,good,700,1,1,1,1,170,0,0,0
84,female,4,450000,6,delivered,0,75,12,360,not_often,fair,400,1,1,1,1,100,0,0,0
85,male,3,200000,7,waterboard,0,75,13,240,not_often,fair,300,1,1,0,1,70,0,0,0
