ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd,Shortest distance,Height diff,LULC
65,female,45000,delivered,1,3,0,75,130,165,often,very good,210,0,0,0,0,20,254.87,7,7
66,female,90000,delivered,1,6,0,75,120,165,often,good,210,0,0,0,0,10,296.1,9,7
67,female,50000,carried,1,4,0,75,50,200,often,good,250,0,0,0,0,30,207.2,5,7
68,female,60000,carried,1,3,0,75,75,165,often,good,210,0,0,0,0,30,238.32,6,7
69,female,60000,delivered,1,4,0,75,70,165,often,good,210,0,0,0,0,30,197.28,5,7
70,female,60000,delivered,1,6,0,75,120,310,often,good,360,0,0,0,0,10,228.64,6,7
71,female,60000,delivered,1,4,0,75,120,165,not_often,fair,210,0,0,0,0,10,237.98,6,7
72,female,60000,delivered,1,5,0,75,130,165,not_often,fair,210,0,0,0,0,20,197.31,5,7
73,female,60000,delivered,1,3,0,75,60,120,often,fair,170,0,0,0,0,40,209.4,5,7
74,female,60000,delivered,1,4,0,75,130,280,often,fair,330,0,0,0,0,20,261.01,6,7
75,female,65000,delivered,1,5,0,75,90,120,often,good,170,0,0,0,0,20,234.85,6,7
76,female,70000,delivered,1,4,0,75,130,120,not_often,good,170,0,0,0,0,20,281.32,4,7
77,female,40000,delivered,1,4,0,75,120,300,not_often,fair,350,0,0,0,0,10,344.41,0,7
78,female,45000,delivered,1,3,0,75,130,120,not_often,good,170,0,0,0,0,20,315.41,1,7
79,female,95000,delivered,1,6,0,75,120,120,often,fair,170,0,0,0,0,10,347.59,2,7
80,female,105000,delivered,1,4,0,75,120,120,often,good,170,0,0,0,0,10,372.86,3,7
81,female,75000,delivered,1,6,0,75,113,180,not_often,good,230,0,0,0,0,10,408.79,5,7
82,female,60000,delivered,1,3,0,75,130,120,often,fair,170,0,0,0,0,20,389.42,4,7
83,female,105000,delivered,1,3,0,75,130,120,often,good,170,0,0,0,0,20,415.88,8,7
84,female,95000,delivered,1,6,0,75,120,220,not_often,fair,270,0,0,0,0,10,465.97,15,7
85,female,80000,delivered,1,4,0,75,130,120,not_often,fair,170,0,0,0,0,20,491.23,11,7
86,female,45000,delivered,1,3,0,75,92,120,not_often,fair,170,0,0,0,0,30,434.01,4,7
87,female,60000,delivered,1,3,0,75,92,180,often,good,230,0,0,0,0,30,491.92,3,7
88,female,85000,delivered,1,6,0,75,122,120,often,good,170,0,0,0,0,10,422.2,3,7
89,female,45000,delivered,1,3,0,75,62,190,often,fair,240,0,0,0,0,40,349.23,8,7
90,female,45000,delivered,1,3,0,75,62,120,not_often,good,170,0,0,0,0,40,326.96,10,7
91,female,45000,delivered,1,4,0,75,55,165,not_often,good,210,0,0,0,0,50,297.43,7,7
92,female,45000,delivered,1,4,0,75,62,165,not_often,good,210,0,0,0,0,40,345.24,11,7
93,female,45000,delivered,1,6,0,75,132,100,not_often,fair,150,0,0,0,0,20,318.68,10,7
94,female,45000,delivered,1,6,0,75,132,165,often,fair,210,0,0,0,0,20,292.31,9,7
95,female,45000,delivered,1,6,0,75,135,120,not_often,very good,170,0,0,0,0,20,320.98,10,7
96,female,45000,delivered,1,3,0,75,62,165,not_often,very good,210,0,0,0,0,40,359.9,16,7
97,female,45000,delivered,1,4,0,75,92,165,often,very good,210,0,0,0,0,30,322.58,12,7
98,female,50000,delivered,1,4,0,75,55,200,not_often,fair,250,0,0,0,0,50,266.32,10,7
99,female,80000,delivered,1,4,0,75,92,165,not_often,fair,210,0,0,0,0,30,364.61,9,7
100,female,70000,delivered,1,5,0,75,25,285,often,fair,330,0,0,0,0,80,239.56,2,7
101,female,85000,delivered,1,6,107,74,32,240,often,good,290,0,0,0,0,70,90.27,2,7
102,female,105000,delivered,1,3,107,74,13,480,often,fair,300,0,0,0,0,130,201.42,2,7
103,female,40000,delivered,1,4,107,74,42,285,not_often,fair,330,0,0,0,0,80,154.25,3,7
104,female,65000,delivered,1,5,107,74,62,210,often,fair,260,0,0,0,0,60,169.96,3,7
105,female,85000,delivered,1,6,107,74,65,165,not_often,fair,210,0,0,0,0,50,173.93,6,7
106,female,60000,delivered,1,3,107,74,25,405,not_often,good,450,0,0,0,0,110,144.14,6,7
107,female,75000,delivered,1,4,107,74,25,200,not_often,very good,250,0,0,0,0,80,164,6,7
108,female,55000,delivered,1,5,107,74,25,285,not_often,fair,330,0,0,0,0,80,108.26,2,7
109,female,95000,delivered,1,6,107,74,42,210,often,good,260,0,0,0,0,60,113.89,2,7
110,female,75000,delivered,1,4,107,74,32,330,not_often,good,380,0,0,0,0,90,183.35,1,7
111,female,85000,delivered,1,6,107,74,52,165,not_often,fair,210,0,0,0,0,50,226.74,2,7
112,female,85000,delivered,1,4,107,74,42,240,not_often,fair,290,0,0,0,0,70,283.47,1,7
113,female,85000,delivered,1,3,107,74,25,360,not_often,good,410,0,0,0,0,100,261.69,2,7
114,female,85000,carried,1,4,107,74,25,405,often,good,450,0,0,0,0,110,118.68,2,7
115,female,85000,delivered,1,5,107,74,22,450,often,fair,500,0,0,0,0,120,33.53,1,7
116,female,85000,delivered,1,5,107,74,52,210,often,fair,260,0,0,0,0,60,142.44,2,7
117,female,85000,carried,1,4,107,74,35,220,not_often,good,270,0,0,0,0,100,81.5,0,7
118,female,85000,carried,1,5,107,74,32,285,not_often,good,330,0,0,0,0,80,88.28,2,7
119,female,100000,delivered,1,3,107,74,25,180,not_often,good,230,0,0,0,0,100,199.4,5,7
120,female,80000,delivered,1,6,107,74,52,165,not_often,good,210,0,0,0,0,50,172,7,7
121,male,40000,delivered,1,4,107,74,35,285,often,fair,330,0,0,0,0,80,147.49,3,7
122,female,50000,delivered,1,4,107,74,25,360,often,fair,410,0,0,0,0,100,57.01,1,7
123,female,100000,carried,1,3,107,74,13,480,not_often,good,300,0,0,0,0,130,56.75,2,7
124,female,100000,delivered,1,4,107,74,35,220,often,good,270,0,0,0,0,80,145.91,8,7
125,female,40000,delivered,1,4,107,74,22,405,not_often,good,450,0,0,0,0,110,55.01,1,7
126,female,100000,carried,1,3,107,74,13,350,not_often,good,400,0,0,0,0,130,88.62,4,7
127,female,60000,carried,1,3,107,74,13,480,often,good,300,0,0,0,0,130,97.74,3,7
128,female,40000,carried,1,4,107,74,22,450,not_often,fair,500,0,0,0,0,120,32.02,1,7
129,female,95000,carried,1,6,107,74,42,240,often,good,290,0,0,0,0,70,79.88,0,7
130,female,45000,delivered,1,3,107,74,13,480,not_often,good,300,0,0,0,1,130,95.52,4,7
131,female,85000,carried,1,4,107,74,25,405,often,good,450,0,0,0,0,110,56.01,1,7
132,female,60000,delivered,1,3,107,74,22,450,not_often,fair,500,0,0,0,0,120,94.37,1,7
133,female,75000,delivered,1,4,107,74,15,480,often,good,300,0,0,0,0,130,23.85,1,7
134,female,80000,carried,1,4,107,74,25,300,not_often,good,350,0,0,0,0,110,74.17,1,7
135,female,95000,carried,1,6,107,74,42,240,often,fair,290,0,0,0,0,70,79.2,1,7
136,female,95000,delivered,1,6,107,74,32,330,not_often,good,380,0,0,0,0,90,30.59,1,7
137,female,95000,carried,1,4,107,74,22,450,not_often,fair,500,0,0,0,0,120,67.08,2,7
138,female,95000,delivered,1,5,107,74,32,230,often,good,280,0,0,0,0,90,69.35,2,7
139,female,95000,delivered,1,3,107,74,5,600,not_often,good,450,0,0,0,0,160,49.48,1,7
140,female,95000,delivered,1,3,107,74,5,480,often,fair,300,0,0,0,0,160,45.88,0,7
141,female,95000,carried,1,4,107,74,25,360,often,fair,410,0,0,0,0,100,93.91,3,7
142,female,75000,delivered,1,6,107,74,25,280,often,good,330,0,0,0,0,100,10.77,0,7
143,female,95000,delivered,1,6,107,74,35,285,often,good,330,0,0,0,0,80,60.44,2,7
144,female,60000,carried,1,3,107,74,5,720,not_often,good,380,0,0,0,0,190,35.44,1,7
145,female,75000,carried,1,4,107,74,22,450,not_often,good,500,0,0,0,0,120,59.51,0,7
146,female,40000,delivered,1,4,107,74,25,180,not_often,good,230,0,0,0,0,100,99.76,1,7
147,female,65000,delivered,1,5,107,74,35,285,often,good,330,0,0,0,0,80,89.47,2,7
148,female,85000,carried,1,6,107,74,35,300,not_often,fair,350,0,0,0,0,80,57.71,1,7
149,female,40000,delivered,1,4,107,74,62,120,not_often,fair,170,0,0,0,0,40,229.59,8,7
150,female,45000,carried,1,3,107,74,5,645,not_often,good,400,0,0,0,0,170,36.36,1,7
151,female,65000,delivered,1,5,107,74,35,285,often,good,330,0,0,0,0,80,129.4,5,7
152,female,40000,delivered,1,4,107,74,32,360,often,fair,410,0,0,0,0,100,121.5,4,7
153,female,40000,delivered,1,6,107,74,42,210,often,good,260,0,0,0,0,60,177.72,4,7
154,female,40000,delivered,1,5,107,74,132,380,often,good,430,0,0,0,0,20,230.65,7,7
155,female,40000,delivered,1,4,107,74,92,210,often,fair,260,0,0,0,0,30,294.54,6,7
156,female,40000,delivered,1,4,107,74,92,210,not_often,fair,260,0,0,0,0,30,178.72,2,7
157,female,40000,delivered,1,5,107,74,132,380,not_often,fair,430,0,0,0,0,20,196.02,9,7
158,female,90000,delivered,1,6,107,74,122,210,often,fair,260,0,0,0,0,10,224.45,11,7
159,female,105000,delivered,1,6,107,74,113,180,often,fair,230,0,0,0,0,20,215.2,11,7
160,female,70000,delivered,1,5,107,74,113,210,not_often,fair,260,0,0,0,0,20,210.11,5,7
161,female,70000,delivered,1,3,107,74,92,210,often,fair,260,0,0,0,0,30,250.91,6,7
162,female,70000,delivered,1,5,107,74,122,180,often,good,230,0,0,0,0,10,332.63,7,7
163,female,70000,delivered,1,6,107,74,122,210,not_often,good,260,0,0,0,0,10,389.28,1,7
164,female,70000,delivered,1,3,107,74,132,370,often,fair,420,0,0,0,0,20,448.99,3,7
165,female,105000,delivered,1,4,107,74,132,210,often,good,260,0,0,0,0,20,338.76,10,7
166,female,40000,delivered,1,4,107,74,132,210,often,good,260,0,0,0,0,20,305.81,18,7
167,female,100000,delivered,1,3,107,74,92,320,not_often,fair,370,0,0,0,0,30,308.01,18,7
168,female,40000,delivered,1,4,107,74,132,210,not_often,fair,260,0,0,0,0,20,400.05,22,7
169,female,50000,delivered,1,4,107,74,132,140,not_often,fair,190,0,0,0,0,20,420.33,23,7
170,female,55000,delivered,1,3,107,74,92,210,often,good,260,0,0,0,0,30,378.8,18,7
171,female,70000,delivered,1,5,107,74,122,210,not_often,fair,260,0,0,0,0,10,426.9,11,7
172,female,50000,delivered,1,4,107,74,132,180,often,fair,230,0,0,0,0,20,473.33,10,7
173,female,80000,delivered,1,4,107,74,132,210,often,good,260,0,0,0,0,20,531.51,18,7
174,female,80000,delivered,1,5,107,74,132,210,not_often,fair,260,0,0,0,0,10,527.39,16,7
175,female,80000,delivered,1,6,107,74,122,190,often,fair,240,0,0,0,0,10,463.04,4,7
176,female,80000,delivered,1,3,107,74,132,210,not_often,good,260,0,0,0,0,20,488.07,26,7
177,female,80000,delivered,1,4,107,74,120,210,often,good,260,0,0,0,0,20,474.22,15,7
178,female,80000,delivered,1,4,107,74,120,400,often,fair,450,0,0,0,0,20,469.3,24,7
179,female,80000,delivered,1,5,107,74,130,210,not_often,good,260,0,0,0,0,10,470.34,17,7
180,female,80000,delivered,1,3,107,74,50,120,not_often,fair,170,0,0,0,0,40,405.81,9,7
181,female,80000,delivered,1,4,107,74,90,280,not_often,fair,330,0,0,0,0,30,379.33,16,7
182,female,50000,delivered,1,4,107,74,90,120,often,good,170,0,0,0,0,30,323.36,12,7
183,female,60000,delivered,1,3,107,74,90,120,not_often,fair,170,0,0,0,0,30,373.55,9,7
184,female,50000,delivered,1,4,107,74,55,165,not_often,good,210,0,0,0,0,50,268.75,9,7
185,female,70000,carried,1,5,107,74,130,380,not_often,good,430,0,0,0,0,20,342.38,2,7
186,female,95000,carried,1,5,107,74,130,165,not_often,good,210,0,0,0,0,20,297.26,6,7
187,female,95000,delivered,1,6,107,74,130,120,often,good,170,0,0,0,1,20,231.68,8,7
188,female,65000,delivered,1,5,107,74,120,165,not_often,good,210,0,0,0,0,20,237.2,0,7
189,female,45000,delivered,1,3,107,74,20,280,not_often,good,330,0,0,0,0,100,186.42,6,7
190,female,40000,delivered,1,4,107,74,20,360,not_often,fair,410,0,0,0,0,100,72.57,3,7
191,female,55000,carried,1,3,107,74,13,450,not_often,fair,500,0,0,0,0,120,112.72,3,7
192,female,55000,delivered,1,3,107,74,13,450,often,fair,500,0,0,0,0,120,159.14,6,7
193,female,85000,delivered,1,6,107,74,50,165,often,fair,210,0,0,0,0,50,196.45,4,7
194,female,90000,delivered,1,5,107,74,40,210,often,fair,260,0,0,0,0,60,222.3,9,7
195,female,60000,carried,1,3,107,74,13,280,often,good,330,0,0,0,0,130,128.72,1,7
196,female,100000,carried,1,4,107,74,35,285,not_often,good,330,0,0,0,0,80,306.37,15,7
197,female,100000,carried,1,6,107,74,40,210,often,good,260,0,0,0,0,60,196.6,3,7
198,female,40000,delivered,1,4,107,74,30,330,often,good,380,0,0,0,0,90,211.02,2,7
199,female,50000,delivered,1,3,107,74,13,480,not_often,fair,300,0,0,0,0,130,192.63,4,7
200,female,75000,delivered,1,4,107,74,30,330,often,good,380,0,0,0,0,90,230.85,2,7
201,female,95000,delivered,1,6,284,76,40,285,not_often,good,330,0,0,0,0,80,101.84,0,7
202,female,55000,delivered,1,3,284,76,13,570,often,good,280,0,0,0,0,150,138.64,2,7
203,female,65000,delivered,1,4,284,76,13,480,not_often,good,300,0,0,0,0,130,105.08,1,7
204,female,105000,carried,1,3,284,76,5,720,often,fair,380,0,0,0,0,190,72.84,0,7
205,male,65000,carried,1,5,284,76,20,300,often,good,350,0,0,0,0,110,87.14,1,7
206,male,60000,delivered,1,3,284,76,13,600,not_often,fair,450,0,0,0,0,160,113.88,4,7
207,female,75000,carried,1,4,284,76,20,450,often,fair,500,0,0,0,0,120,137.06,2,7
208,male,105000,carried,1,4,284,76,20,380,often,good,430,0,0,0,0,120,132.09,4,7
209,female,45000,carried,1,3,284,76,5,765,often,good,280,0,0,0,0,200,55.07,3,7
210,female,80000,delivered,1,4,284,76,5,525,not_often,fair,480,0,0,0,0,140,85.29,4,7
211,female,80000,carried,1,4,284,76,5,600,not_often,good,450,0,0,0,0,160,27.07,1,7
212,female,95000,delivered,1,6,284,76,54,165,not_often,good,210,0,0,0,0,50,146.49,2,7
213,female,85000,delivered,1,6,284,76,54,270,often,fair,320,0,0,0,0,50,131.61,2,7
214,female,40000,carried,1,4,284,76,44,240,often,good,290,0,0,0,0,70,152.63,1,7
215,female,100000,carried,1,4,284,76,34,310,not_often,fair,360,0,0,0,1,100,76.69,1,7
216,female,95000,carried,1,6,284,76,45,210,not_often,fair,260,0,0,0,0,60,105.72,2,7
217,female,95000,carried,1,6,284,76,45,380,often,fair,430,0,0,0,0,60,90.44,2,7
218,female,95000,carried,1,6,284,76,44,285,often,good,330,0,0,0,0,80,39.66,0,7
219,female,95000,carried,1,4,284,76,13,450,often,fair,500,0,0,0,0,120,79.4,2,7
220,female,95000,delivered,1,6,284,76,54,165,often,good,210,0,0,0,0,50,118.98,1,7
221,female,95000,carried,1,4,284,76,44,240,often,fair,290,0,0,0,0,70,144.81,0,7
222,female,50000,carried,1,4,284,76,25,360,often,fair,410,0,0,0,0,100,85.98,3,7
223,female,75000,carried,1,4,284,76,13,525,not_often,fair,480,0,0,0,0,140,35.47,1,7
224,female,80000,delivered,1,4,284,76,35,285,often,good,330,0,0,0,0,80,105.39,3,7
225,female,75000,delivered,1,4,284,76,5,570,often,good,280,0,0,0,0,150,55.11,0,7
226,female,80000,delivered,1,4,284,76,34,330,often,fair,380,0,0,0,0,90,104.04,0,7
227,female,80000,carried,1,6,284,76,54,165,often,fair,210,0,0,0,0,50,150.88,4,7
228,female,80000,delivered,1,4,284,76,44,300,often,fair,350,0,0,0,0,80,188.67,5,7
229,female,100000,delivered,1,3,284,76,24,360,not_often,fair,410,0,0,0,0,100,107.45,0,7
230,female,55000,carried,1,3,284,76,24,360,not_often,fair,410,0,0,0,0,100,156.85,2,7
231,female,60000,delivered,1,3,284,76,13,480,often,good,300,0,0,0,0,130,78.11,1,7
232,female,50000,delivered,1,4,284,76,34,330,often,good,380,0,0,0,0,90,118.6,3,7
233,female,45000,delivered,1,3,284,76,5,690,often,very good,500,0,0,0,0,180,42.38,2,7
234,female,95000,delivered,1,6,284,76,54,320,not_often,fair,370,0,0,0,0,50,100.9,4,7
235,male,50000,carried,1,3,284,76,13,480,not_often,fair,300,0,0,0,0,130,66.73,2,7
