ID,Household Income,Household wealth score,Household size,Rainfall for the month,Average temperature for the month,Travel time,Shortest distance,Amount spent on water in a month,Volume of water consumed in a month in liters,Volume of water consumed in lpcd,Willingness to pay
1,65000,419.3,5,250.99,74.5,20.00,134.33,10000,6300,40,9000
2,65000,419.3,5,250.99,74.5,20.00,136.01,10000,6300,40,9000
3,65000,524.1,4,250.99,74.5,20.00,166.33,10000,6300,40,9000
4,65000,419.3,5,250.99,74.5,20.00,183.36,10000,6300,40,9000
5,65000,419.3,5,250.99,74.5,20.00,198.91,10000,6300,40,9000
6,65000,524.1,4,250.99,74.5,20.00,242.47,10000,6300,40,9000
7,65000,524.1,4,250.99,74.5,20.00,260.36,10000,6300,40,9000
8,65000,419.3,5,250.99,74.5,20.00,349.69,10000,6300,40,9000
9,65000,419.3,5,250.99,74.5,20.00,362.05,10000,6300,40,9000
10,65000,524.1,4,250.99,74.5,20.00,335.43,10000,6300,40,9000
11,65000,524.1,4,250.99,74.5,20.00,337.48,10000,6300,40,9000
12,65000,419.3,5,250.99,74.5,20.00,327.00,10000,6300,40,9000
13,65000,419.3,5,250.99,74.5,20.00,322.19,10000,6300,40,9000
14,65000,698.9,3,250.99,74.5,20.00,310.44,10000,6300,40,9000
15,40000,645.1,2,250.99,74.5,10.00,276.74,6000,4100,20,8000
16,40000,430.1,3,250.99,74.5,10.00,257.80,6000,4100,20,8000
17,50000,403.2,4,250.99,74.5,10.00,242.84,6000,4100,20,8000
18,70000,451.6,5,250.99,74.5,20.00,224.96,10000,6300,40,10000
19,50000,403.2,4,250.99,74.5,10.00,185.22,6000,4100,20,8000
20,70000,451.6,5,250.99,74.5,20.00,167.03,10000,6300,40,10000
21,70000,451.6,5,250.99,74.5,20.00,158.15,10000,6300,40,10000
22,70000,451.6,5,250.99,74.5,20.00,142.39,10000,6300,40,10000
23,70000,451.6,5,250.99,74.5,20.00,122.10,10000,6300,40,10000
24,50000,403.2,4,250.99,74.5,10.00,111.63,6000,4100,20,8000
25,70000,451.6,5,250.99,74.5,20.00,107.84,10000,6300,40,10000
26,50000,403.2,4,250.99,74.5,10.00,107.42,6000,4100,20,8000
27,70000,451.6,5,250.99,74.5,20.00,80.45,10000,6300,40,10000
28,50000,403.2,4,250.99,74.5,10.00,80.09,6000,4100,20,8000
29,70000,451.6,5,250.99,74.5,20.00,84.38,10000,6300,40,10000
30,70000,564.5,4,250.99,74.5,20.00,94.26,10000,6300,40,10000
31,70000,564.5,4,250.99,74.5,20.00,117.39,10000,6300,40,10000
32,70000,451.6,5,250.99,74.5,20.00,137.30,10000,6300,40,10000
33,70000,451.6,5,250.99,74.5,20.00,151.09,10000,6300,40,10000
34,70000,564.5,4,250.99,74.5,20.00,168.68,10000,6300,40,10000
35,70000,564.5,4,250.99,74.5,20.00,212.42,10000,6300,40,10000
36,70000,451.6,5,250.99,74.5,20.00,230.05,10000,6300,40,10000
37,70000,451.6,5,250.99,74.5,20.00,249.00,10000,6300,40,10000
38,70000,451.6,5,250.99,74.5,20.00,265.87,10000,6300,40,10000
39,70000,451.6,5,250.99,74.5,20.00,284.70,10000,6300,40,10000
40,50000,403.2,4,250.99,74.5,10.00,294.06,6000,4100,20,8000
41,50000,403.2,4,250.99,74.5,10.00,301.73,6000,4100,20,8000
42,50000,322.5,5,250.99,74.5,10.00,312.96,6000,4100,20,8000
43,50000,322.5,5,250.99,74.5,10.00,290.00,6000,4100,20,8000
44,50000,322.5,5,250.99,74.5,10.00,277.42,6000,4100,20,8000
45,50000,403.2,4,250.99,74.5,10.00,270.67,6000,4100,20,8000
46,50000,322.5,5,250.99,74.5,10.00,266.37,6000,4100,20,8000
47,50000,403.2,4,250.99,74.5,10.00,260.02,6000,4100,20,8000
48,50000,403.2,4,250.99,74.5,10.00,246.95,6000,4100,20,8000
49,50000,403.2,4,250.99,74.5,10.00,238.10,6000,4100,20,8000
50,50000,322.5,5,250.99,74.5,10.00,226.91,6000,4100,20,8000
51,50000,403.2,4,250.99,74.5,10.00,219.49,6000,4100,20,8000
52,50000,322.5,5,250.99,74.5,10.00,203.82,6000,4100,20,8000
53,50000,403.2,4,250.99,74.5,10.00,156.35,6000,4100,20,8000
54,50000,403.2,4,250.99,74.5,10.00,136.36,6000,4100,20,8000
55,50000,403.2,4,250.99,74.5,10.00,122.20,6000,4100,20,8000
56,50000,403.2,4,250.99,74.5,10.00,104.85,6000,4100,20,8000
57,50000,403.2,4,250.99,74.5,10.00,76.55,6000,4100,20,8000
58,50000,403.2,4,250.99,74.5,10.00,62.07,6000,4100,20,8000
59,50000,403.2,4,250.99,74.5,10.00,52.61,6000,4100,20,8000
60,50000,403.2,4,250.99,74.5,10.00,49.65,6000,4100,20,8000
61,50000,403.2,4,250.99,74.5,10.00,19.85,6000,4100,20,8000
62,50000,403.2,4,250.99,74.5,10.00,23.77,6000,4100,20,8000
63,50000,403.2,4,250.99,74.5,10.00,40.50,6000,4100,20,8000
64,50000,403.2,4,250.99,74.5,10.00,59.41,6000,4100,20,8000
65,50000,403.2,4,250.99,74.5,10.00,87.11,6000,4100,20,8000
66,50000,403.2,4,250.99,74.5,10.00,105.26,6000,4100,20,8000
67,50000,403.2,4,250.99,74.5,10.00,126.21,6000,4100,20,8000
68,70000,451.6,5,250.99,74.5,20.00,145.80,10000,6300,40,10000
69,50000,403.2,4,250.99,74.5,10.00,189.99,6000,4100,20,8000
70,70000,451.6,5,250.99,74.5,20.00,207.69,10000,6300,40,10000
71,70000,451.6,5,250.99,74.5,20.00,213.72,10000,6300,40,10000
72,50000,403.2,4,250.99,74.5,10.00,220.58,6000,4100,20,8000
73,70000,451.6,5,250.99,74.5,20.00,234.05,10000,6300,40,10000
74,50000,403.2,4,250.99,74.5,10.00,242.91,6000,4100,20,8000
75,50000,403.2,4,250.99,74.5,10.00,251.53,6000,4100,20,8000
76,50000,403.2,4,250.99,74.5,10.00,266.55,6000,4100,20,8000
77,70000,451.6,5,250.99,74.5,20.00,252.68,10000,6300,40,10000
78,70000,451.6,5,250.99,74.5,20.00,240.93,10000,6300,40,10000
79,70000,451.6,5,250.99,74.5,20.00,225.34,10000,6300,40,10000
80,50000,403.2,4,250.99,74.5,10.00,207.39,6000,4100,20,8000
81,50000,403.2,4,250.99,74.5,10.00,196.02,6000,4100,20,8000
82,70000,451.6,5,250.99,74.5,20.00,188.38,10000,6300,40,10000
83,70000,451.6,5,250.99,74.5,20.00,182.72,10000,6300,40,10000
84,70000,451.6,5,250.99,74.5,20.00,176.38,10000,6300,40,10000
85,50000,403.2,4,250.99,74.5,10.00,112.16,6000,4100,20,8000
86,70000,451.6,5,250.99,74.5,20.00,92.48,10000,6300,40,10000
87,50000,403.2,4,250.99,74.5,10.00,56.30,6000,4100,20,8000
88,50000,403.2,4,250.99,74.5,10.00,45.61,6000,4100,20,8000
89,50000,322.5,5,250.99,74.5,10.00,9.49,6000,4100,20,8000
90,50000,322.5,5,250.99,74.5,10.00,30.41,6000,4100,20,8000
91,50000,403.2,4,250.99,74.5,10.00,41.88,6000,4100,20,8000
92,50000,322.5,5,250.99,74.5,10.00,58.82,6000,4100,20,8000
93,50000,322.5,5,250.99,74.5,10.00,74.43,6000,4100,20,8000
94,50000,403.2,4,250.99,74.5,10.00,97.08,6000,4100,20,8000
95,50000,322.5,5,250.99,74.5,10.00,141.01,6000,4100,20,8000
96,50000,403.2,4,250.99,74.5,10.00,144.28,6000,4100,20,8000
97,50000,322.5,5,250.99,74.5,10.00,161.70,6000,4100,20,8000
98,50000,322.5,5,250.99,74.5,10.00,211.26,6000,4100,20,8000
99,50000,403.2,4,250.99,74.5,10.00,185.54,6000,4100,20,8000
100,50000,403.2,4,250.99,74.5,10.00,167.93,6000,4100,20,8000
101,50000,322.5,5,250.99,74.5,10.00,147.23,6000,4100,20,8000
102,50000,403.2,4,250.99,74.5,10.00,134.00,6000,4100,20,8000
103,50000,322.5,5,250.99,74.5,10.00,132.01,6000,4100,20,8000
104,50000,322.5,5,250.99,74.5,10.00,128.04,6000,4100,20,8000
105,50000,322.5,5,250.99,74.5,10.00,108.78,6000,4100,20,8000
106,50000,322.5,5,250.99,74.5,10.00,83.22,6000,4100,20,8000
107,50000,403.2,4,250.99,74.5,10.00,74.30,6000,4100,20,8000
108,50000,322.5,5,250.99,74.5,10.00,67.20,6000,4100,20,8000
109,50000,322.5,5,250.99,74.5,10.00,62.17,6000,4100,20,8000
110,50000,322.5,5,250.99,74.5,10.00,93.52,6000,4100,20,8000
111,70000,451.6,5,250.99,74.5,20.00,97.62,10000,6300,40,10000
112,70000,451.6,5,250.99,74.5,20.00,102.07,10000,6300,40,10000
113,50000,403.2,4,250.99,74.5,10.00,107.35,6000,4100,20,8000
114,70000,451.6,5,250.99,74.5,20.00,60.88,10000,6300,40,10000
115,50000,403.2,4,250.99,74.5,10.00,106.02,6000,4100,20,8000
116,70000,451.6,5,250.99,74.5,20.00,87.00,10000,6300,40,10000
117,70000,451.6,5,250.99,74.5,20.00,92.91,10000,6300,40,10000
118,70000,451.6,5,250.99,74.5,20.00,112.15,10000,6300,40,10000
119,50000,403.2,4,250.99,74.5,10.00,126.53,6000,4100,20,8000
120,70000,451.6,5,250.99,74.5,20.00,149.37,10000,6300,40,10000
121,50000,403.2,4,250.99,74.5,10.00,167.06,6000,4100,20,8000
122,70000,451.6,5,250.99,74.5,20.00,187.52,10000,6300,40,10000
123,70000,451.6,5,250.99,74.5,20.00,206.46,10000,6300,40,10000
124,50000,403.2,4,250.99,74.5,10.00,193.83,6000,4100,20,8000
125,70000,451.6,5,250.99,74.5,20.00,188.40,10000,6300,40,10000
126,70000,451.6,5,250.99,74.5,20.00,162.61,10000,6300,40,10000
127,70000,451.6,5,250.99,74.5,20.00,139.45,10000,6300,40,10000
128,70000,451.6,5,250.99,74.5,20.00,98.41,10000,6300,40,10000
129,70000,451.6,5,250.99,74.5,20.00,74.40,10000,6300,40,10000
130,50000,403.2,4,250.99,74.5,10.00,53.67,6000,4100,20,8000
131,70000,451.6,5,250.99,74.5,20.00,35.36,10000,6300,40,10000
132,70000,451.6,5,250.99,74.5,20.00,34.99,10000,6300,40,10000
133,70000,451.6,5,250.99,74.5,20.00,51.62,10000,6300,40,10000
134,50000,403.2,4,250.99,74.5,10.00,72.03,6000,4100,20,8000
135,50000,403.2,4,250.99,74.5,10.00,90.80,6000,4100,20,8000
136,50000,403.2,4,250.99,74.5,10.00,114.24,6000,4100,20,8000
137,50000,322.5,5,250.99,74.5,10.00,136.56,6000,4100,20,8000
138,50000,403.2,4,250.99,74.5,10.00,147.41,6000,4100,20,8000
139,50000,322.5,5,250.99,74.5,10.00,150.72,6000,4100,20,8000
140,50000,322.5,5,250.99,74.5,10.00,176.30,6000,4100,20,8000
141,50000,322.5,5,250.99,74.5,10.00,150.08,6000,4100,20,8000
142,50000,322.5,5,250.99,74.5,10.00,131.06,6000,4100,20,8000
143,50000,403.2,4,250.99,74.5,10.00,119.00,6000,4100,20,8000
144,50000,322.5,5,250.99,74.5,10.00,102.08,6000,4100,20,8000
145,50000,322.5,5,250.99,74.5,10.00,81.49,6000,4100,20,8000
146,50000,322.5,5,250.99,74.5,10.00,65.30,6000,4100,20,8000
147,50000,322.5,5,250.99,74.5,10.00,36.24,6000,4100,20,7000
148,50000,403.2,4,250.99,74.5,10.00,16.12,6000,4100,20,7000
149,50000,403.2,4,250.99,74.5,10.00,51.89,6000,4100,20,7000
150,50000,403.2,4,250.99,74.5,10.00,72.01,6000,4100,20,7000
151,50000,403.2,4,250.99,74.5,10.00,91.30,6000,4100,20,7000
152,50000,403.2,4,250.99,74.5,10.00,114.39,6000,4100,20,7000
153,50000,403.2,4,250.99,74.5,10.00,139.29,6000,4100,20,7000
154,50000,322.5,5,250.99,74.5,10.00,161.25,6000,4100,20,7000
155,50000,322.5,5,250.99,74.5,10.00,188.53,6000,4100,20,7000
156,50000,537.6,3,250.99,74.5,10.00,189.11,6000,4100,20,7000
157,50000,806.4,2,250.99,74.5,10.00,167.63,6000,4100,20,7000
158,50000,537.6,3,250.99,74.5,10.00,151.82,6000,4100,20,7000
159,50000,403.2,4,250.99,74.5,10.00,123.45,6000,4100,20,7000
160,50000,322.5,5,250.99,74.5,10.00,98.27,6000,4100,20,7000
161,50000,403.2,4,250.99,74.5,10.00,80.60,6000,4100,20,7000
162,50000,403.2,4,250.99,74.5,10.00,66.10,6000,4100,20,7000
163,50000,403.2,4,250.99,74.5,10.00,54.04,6000,4100,20,7000
164,50000,322.5,5,250.99,74.5,10.00,37.12,6000,4100,20,7000
165,50000,322.5,5,250.99,74.5,10.00,53.00,6000,4100,20,7000
166,50000,322.5,5,250.99,74.5,10.00,77.16,6000,4100,20,7000
167,50000,403.2,4,250.99,74.5,10.00,97.08,6000,4100,20,7000
168,50000,403.2,4,250.99,74.5,10.00,118.44,6000,4100,20,7000
169,50000,403.2,4,250.99,74.5,10.00,142.41,6000,4100,20,7000
170,50000,322.5,5,250.99,74.5,10.00,176.82,6000,4100,20,7000
171,50000,403.2,4,250.99,74.5,10.00,235.36,6000,4100,20,7000
172,50000,322.5,5,250.99,74.5,10.00,254.87,6000,4100,20,7000
173,50000,403.2,4,250.99,74.5,10.00,277.28,6000,4100,20,7000
174,50000,322.5,5,250.99,74.5,10.00,296.10,6000,4100,20,7000
175,50000,403.2,4,250.99,74.5,10.00,245.51,6000,4100,20,7000
176,50000,322.5,5,250.99,74.5,10.00,207.20,6000,4100,20,7000
177,50000,403.2,4,250.99,74.5,10.00,238.32,6000,4100,20,7000
178,50000,403.2,4,250.99,74.5,10.00,197.28,6000,4100,20,7000
179,50000,403.2,4,250.99,74.5,10.00,228.64,6000,4100,20,7000
180,50000,322.5,5,250.99,74.5,10.00,187.30,6000,4100,20,7000
181,50000,403.2,4,250.99,74.5,10.00,234.40,6000,4100,20,7000
182,50000,322.5,5,250.99,74.5,10.00,237.98,6000,4100,20,7000
183,50000,322.5,5,250.99,74.5,10.00,197.31,6000,4100,20,7000
184,50000,403.2,4,250.99,74.5,10.00,253.16,6000,4100,20,7000
185,50000,322.5,5,250.99,74.5,10.00,209.40,6000,4100,20,7000
186,50000,403.2,4,250.99,74.5,10.00,259.23,6000,4100,20,7000
187,50000,403.2,4,250.99,74.5,10.00,224.00,6000,4100,20,7000
188,50000,403.2,4,250.99,74.5,10.00,261.01,6000,4100,20,7000
189,50000,403.2,4,250.99,74.5,10.00,234.85,6000,4100,20,7000
190,50000,403.2,4,250.99,74.5,10.00,275.80,6000,4100,20,7000
191,50000,403.2,4,250.99,74.5,10.00,244.30,6000,4100,20,7000
192,50000,403.2,4,250.99,74.5,10.00,244.30,6000,4100,20,7000
193,50000,322.5,5,250.99,74.5,10.00,292.61,6000,4100,20,7000
194,50000,322.5,5,250.99,74.5,10.00,281.32,6000,4100,20,7000
195,50000,403.2,4,250.99,74.5,10.00,317.91,6000,4100,20,7000
196,50000,322.5,5,250.99,74.5,10.00,301.88,6000,4100,20,7000
197,50000,322.5,5,250.99,74.5,10.00,344.41,6000,4100,20,7000
198,50000,322.5,5,250.99,74.5,10.00,315.41,6000,4100,20,7000
199,50000,403.2,4,250.99,74.5,10.00,357.85,6000,4100,20,7000
200,50000,403.2,4,250.99,74.5,10.00,347.59,6000,4100,20,7000
201,50000,403.2,4,250.99,74.5,10.00,396.43,6000,4100,20,7000
202,50000,403.2,4,250.99,74.5,10.00,372.86,6000,4100,20,7000
203,50000,322.5,5,250.99,74.5,10.00,408.79,6000,4100,20,7000
204,50000,403.2,4,250.99,74.5,10.00,389.42,6000,4100,20,7000
205,50000,322.5,5,250.99,74.5,10.00,415.88,6000,4100,20,7000
206,50000,403.2,4,250.99,74.5,10.00,465.97,6000,4100,20,7000
207,50000,322.5,5,250.99,74.5,10.00,491.23,6000,4100,20,7000
208,50000,403.2,4,250.99,74.5,10.00,434.01,6000,4100,20,7000
209,50000,322.5,5,250.99,74.5,10.00,491.92,6000,4100,20,7000
210,50000,403.2,4,250.99,74.5,10.00,422.20,6000,4100,20,7000
211,50000,403.2,4,250.99,74.5,10.00,349.23,6000,4100,20,7000
212,50000,403.2,4,250.99,74.5,10.00,326.96,6000,4100,20,7000
213,50000,322.5,5,250.99,74.5,10.00,297.43,6000,4100,20,7000
214,50000,403.2,4,250.99,74.5,10.00,345.24,6000,4100,20,7000
215,50000,403.2,4,250.99,74.5,10.00,318.68,6000,4100,20,7000
216,50000,806.4,2,250.99,74.5,10.00,292.31,6000,4100,20,7000
217,50000,403.2,4,250.99,74.5,10.00,320.98,6000,4100,20,7000
218,50000,322.5,5,250.99,74.5,10.00,359.90,6000,4100,20,7000
219,50000,322.5,5,250.99,74.5,10.00,322.58,6000,4100,20,7000
220,50000,403.2,4,250.99,74.5,10.00,266.32,6000,4100,20,7000
221,50000,403.2,4,250.99,74.5,10.00,364.61,6000,4100,20,7000
222,50000,806.4,2,250.99,74.5,10.00,239.56,6000,4100,20,7000
223,50000,403.2,4,250.99,74.5,10.00,289.02,6000,4100,20,7000
224,50000,403.2,4,250.99,74.5,10.00,210.28,6000,4100,20,7000
225,50000,403.2,4,250.99,74.5,10.00,167.01,6000,4100,20,7000
226,50000,403.2,4,250.99,74.5,10.00,109.90,6000,4100,20,7000
227,70000,451.6,5,250.99,74.5,20.00,181.16,10000,6300,40,10000
228,50000,403.2,4,250.99,74.5,10.00,229.54,6000,4100,20,8000
229,70000,451.6,5,250.99,74.5,20.00,180.97,10000,6300,40,10000
230,70000,451.6,5,250.99,74.5,20.00,223.73,10000,6300,40,10000
231,70000,451.6,5,250.99,74.5,20.00,152.01,10000,6300,40,10000
232,70000,451.6,5,250.99,74.5,20.00,163.86,10000,6300,40,10000
233,70000,451.6,5,250.99,74.5,20.00,145.91,10000,6300,40,10000
234,50000,403.2,4,250.99,74.5,10.00,115.95,6000,4100,20,8000
235,50000,403.2,4,250.99,74.5,10.00,124.28,6000,4100,20,8000
236,70000,451.6,5,250.99,74.5,20.00,142.39,10000,6300,40,10000
237,70000,451.6,5,250.99,74.5,20.00,106.48,10000,6300,40,10000
238,50000,403.2,4,250.99,74.5,10.00,149.34,6000,4100,20,8000
239,70000,451.6,5,250.99,74.5,20.00,124.68,10000,6300,40,10000
240,70000,451.6,5,250.99,74.5,20.00,86.98,10000,6300,40,10000
241,50000,403.2,4,250.99,74.5,10.00,90.27,6000,4100,20,8000
242,50000,403.2,4,250.99,74.5,10.00,91.27,6000,4100,20,8000
243,50000,403.2,4,250.99,74.5,10.00,101.64,6000,4100,20,8000
244,70000,451.6,5,250.99,74.5,20.00,113.84,10000,6300,40,10000
245,70000,451.6,5,250.99,74.5,20.00,135.96,10000,6300,40,10000
246,50000,403.2,4,250.99,74.5,10.00,157.28,6000,4100,20,8000
247,70000,451.6,5,250.99,74.5,20.00,168.07,10000,6300,40,10000
248,50000,403.2,4,250.99,74.5,10.00,183.04,6000,4100,20,8000
249,70000,451.6,5,250.99,74.5,20.00,201.42,10000,6300,40,10000
250,50000,403.2,4,250.99,74.5,10.00,209.77,6000,4100,20,8000
251,50000,403.2,4,250.99,74.5,10.00,194.14,6000,4100,20,8000
252,70000,451.6,5,250.99,74.5,20.00,182.65,10000,6300,40,10000
253,70000,451.6,5,250.99,74.5,20.00,158.40,10000,6300,40,10000
254,50000,403.2,4,250.99,74.5,10.00,143.54,6000,4100,20,8000
255,70000,451.6,5,250.99,74.5,20.00,134.18,10000,6300,40,10000
256,50000,403.2,4,250.99,74.5,10.00,127.62,6000,4100,20,8000
257,70000,451.6,5,250.99,74.5,20.00,116.04,10000,6300,40,10000
258,70000,451.6,5,250.99,74.5,20.00,114.56,10000,6300,40,10000
259,70000,451.6,5,250.99,74.5,20.00,115.36,10000,6300,40,10000
260,70000,451.6,5,250.99,74.5,20.00,141.65,10000,6300,40,10000
261,70000,451.6,5,250.99,74.5,20.00,145.73,10000,6300,40,10000
262,50000,403.2,4,250.99,74.5,10.00,154.25,6000,4100,20,8000
263,50000,403.2,4,250.99,74.5,10.00,153.81,6000,4100,20,8000
264,50000,403.2,4,250.99,74.5,10.00,169.50,6000,4100,20,8000
265,50000,403.2,4,250.99,74.5,10.00,169.96,6000,4100,20,8000
266,50000,403.2,4,250.99,74.5,10.00,178.24,6000,4100,20,8000
267,70000,451.6,5,250.99,74.5,20.00,170.42,10000,6300,40,10000
268,70000,451.6,5,250.99,74.5,20.00,172.24,10000,6300,40,10000
269,50000,403.2,4,250.99,74.5,10.00,169.07,6000,4100,20,8000
270,70000,451.6,5,250.99,74.5,20.00,172.41,10000,6300,40,10000
271,50000,403.2,4,250.99,74.5,10.00,173.93,6000,4100,20,8000
272,70000,451.6,5,250.99,74.5,20.00,148.63,10000,6300,40,10000
273,70000,451.6,5,250.99,74.5,20.00,139.46,10000,6300,40,10000
274,70000,451.6,5,250.99,74.5,20.00,144.14,10000,6300,40,10000
275,50000,403.2,4,250.99,74.5,10.00,140.09,6000,4100,20,8000
276,50000,403.2,4,250.99,74.5,10.00,148.82,6000,4100,20,8000
277,50000,403.2,4,250.99,74.5,10.00,158.40,6000,4100,20,8000
278,50000,403.2,4,250.99,74.5,10.00,161.15,6000,4100,20,8000
279,90000,1451.6,2,250.99,74.5,30.00,168.44,12000,8200,50,10000
280,50000,403.2,4,250.99,74.5,10.00,176.65,6000,4100,20,8000
281,70000,451.6,5,250.99,74.5,20.00,176.11,10000,6300,40,10000
282,50000,403.2,4,250.99,74.5,10.00,176.18,6000,4100,20,8000
283,50000,403.2,4,250.99,74.5,10.00,164.26,6000,4100,20,8000
284,50000,403.2,4,250.99,74.5,10.00,183.86,6000,4100,20,8000
285,50000,403.2,4,250.99,74.5,10.00,164.00,6000,4100,20,8000
286,70000,451.6,5,250.99,74.5,20.00,159.70,10000,6300,40,10000
287,50000,403.2,4,250.99,74.5,10.00,145.84,6000,4100,20,8000
288,70000,451.6,5,250.99,74.5,20.00,142.21,10000,6300,40,10000
289,50000,403.2,4,250.99,74.5,10.00,129.50,6000,4100,20,8000
290,70000,451.6,5,250.99,74.5,20.00,126.91,10000,6300,40,10000
291,65000,419.3,5,250.99,74.5,20.00,118.87,10000,6300,40,10000
292,65000,524.1,4,250.99,74.5,20.00,110.00,10000,6300,40,10000
293,65000,524.1,4,250.99,74.5,20.00,117.48,10000,6300,40,10000
294,65000,419.3,5,250.99,74.5,20.00,109.66,10000,6300,40,10000
295,65000,419.3,5,250.99,74.5,20.00,117.65,10000,6300,40,10000
296,65000,524.1,4,250.99,74.5,20.00,108.26,10000,6300,40,10000
297,65000,419.3,5,250.99,74.5,20.00,114.93,10000,6300,40,10000
298,65000,419.3,5,250.99,74.5,20.00,113.89,10000,6300,40,10000
299,65000,419.3,5,250.99,74.5,20.00,97.05,10000,6300,40,10000
300,65000,419.3,5,250.99,74.5,20.00,157.06,10000,6300,40,10000
301,65000,524.1,4,250.99,74.5,20.00,183.35,10000,6300,40,10000
302,65000,524.1,4,250.99,74.5,20.00,157.21,10000,6300,40,10000
303,65000,419.3,5,250.99,74.5,20.00,185.88,10000,6300,40,10000
304,65000,419.3,5,250.99,74.5,20.00,226.74,10000,6300,40,10000
305,65000,524.1,4,250.99,74.5,20.00,283.47,10000,6300,40,10000
306,65000,524.1,4,250.99,74.5,20.00,261.69,10000,6300,40,10000
307,65000,419.3,5,250.99,74.5,20.00,225.02,10000,6300,40,10000
308,65000,524.1,4,250.99,74.5,20.00,118.68,10000,6300,40,10000
309,65000,419.3,5,250.99,74.5,20.00,91.92,10000,6300,40,10000
310,65000,419.3,5,250.99,74.5,20.00,79.43,10000,6300,40,10000
311,65000,419.3,5,250.99,74.5,20.00,57.00,10000,6300,40,10000
312,65000,524.1,4,250.99,74.5,20.00,33.53,10000,6300,40,10000
313,65000,524.1,4,250.99,74.5,20.00,25.00,10000,6300,40,10000
314,65000,419.3,5,250.99,74.5,20.00,32.98,10000,6300,40,10000
315,65000,419.3,5,250.99,74.5,20.00,70.09,10000,6300,40,10000
316,65000,524.1,4,250.99,74.5,20.00,142.44,10000,6300,40,10000
317,65000,524.1,4,250.99,74.5,20.00,130.70,10000,6300,40,10000
318,65000,419.3,5,250.99,74.5,20.00,112.31,10000,6300,40,10000
319,65000,419.3,5,250.99,74.5,20.00,98.08,10000,6300,40,10000
320,65000,524.1,4,250.99,74.5,20.00,81.50,10000,6300,40,10000
321,65000,524.1,4,250.99,74.5,20.00,70.71,10000,6300,40,10000
322,80000,516.1,5,250.99,74.5,20.00,66.24,11000,7000,40,9000
323,80000,516.1,5,250.99,74.5,20.00,71.45,11000,7000,40,9000
324,80000,516.1,5,250.99,74.5,20.00,65.80,11000,7000,40,9000
325,80000,645.1,4,250.99,74.5,20.00,88.28,11000,7000,40,9000
326,80000,516.1,5,250.99,74.5,20.00,199.40,11000,7000,40,9000
327,80000,645.1,4,250.99,74.5,20.00,149.61,11000,7000,40,9000
328,80000,516.1,5,250.99,74.5,20.00,149.21,11000,7000,40,9000
329,80000,516.1,5,250.99,74.5,20.00,172.00,11000,7000,40,9000
330,80000,516.1,5,250.99,74.5,20.00,137.01,11000,7000,40,9000
331,80000,645.1,4,250.99,74.5,20.00,115.02,11000,7000,40,9000
332,80000,645.1,4,250.99,74.5,20.00,90.80,11000,7000,40,9000
333,70000,451.6,5,250.99,74.5,20.00,103.47,10000,6300,40,10000
334,70000,451.6,5,250.99,74.5,20.00,60.02,10000,6300,40,10000
335,50000,403.2,4,250.99,74.5,10.00,154.31,6000,4100,20,8000
336,50000,403.2,4,250.99,74.5,10.00,142.34,6000,4100,20,8000
337,50000,403.2,4,250.99,74.5,10.00,128.41,6000,4100,20,8000
338,70000,451.6,5,250.99,74.5,20.00,115.04,10000,6300,40,10000
339,50000,403.2,4,250.99,74.5,10.00,90.35,6000,4100,20,8000
340,50000,403.2,4,250.99,74.5,10.00,88.41,6000,4100,20,8000
341,70000,451.6,5,250.99,74.5,20.00,94.37,10000,6300,40,10000
342,50000,403.2,4,250.99,74.5,10.00,103.94,6000,4100,20,8000
343,70000,451.6,5,250.99,74.5,20.00,117.39,10000,6300,40,10000
344,70000,451.6,5,250.99,74.5,20.00,126.92,10000,6300,40,10000
345,85000,685.4,4,250.99,74.5,20.00,136.89,10000,6600,40,9000
346,85000,685.4,4,250.99,74.5,20.00,168.36,10000,6600,40,9000
347,85000,548.3,5,250.99,74.5,20.00,147.49,10000,6600,40,9000
348,85000,548.3,5,250.99,74.5,20.00,115.41,10000,6600,40,9000
349,85000,548.3,5,250.99,74.5,20.00,81.74,10000,6600,40,9000
350,85000,685.4,4,250.99,74.5,20.00,57.01,10000,6600,40,9000
351,85000,685.4,4,250.99,74.5,20.00,30.87,10000,6600,40,9000
352,85000,685.4,4,250.99,74.5,20.00,23.71,10000,6600,40,9000
353,85000,685.4,4,250.99,74.5,20.00,31.14,10000,6600,40,9000
354,85000,548.3,5,250.99,74.5,20.00,111.02,10000,6600,40,9000
355,85000,548.3,5,250.99,74.5,20.00,117.72,10000,6600,40,9000
356,85000,913.9,3,250.99,74.5,20.00,135.44,10000,6600,40,9000
357,85000,1370.9,2,250.99,74.5,20.00,149.70,10000,6600,40,9000
358,85000,913.9,3,250.99,74.5,20.00,170.49,10000,6600,40,9000
359,85000,685.4,4,250.99,74.5,20.00,166.37,10000,6600,40,9000
360,85000,548.3,5,250.99,74.5,20.00,129.65,10000,6600,40,9000
361,85000,685.4,4,250.99,74.5,20.00,112.89,10000,6600,40,9000
362,85000,685.4,4,250.99,74.5,20.00,56.75,10000,6600,40,9000
363,85000,685.4,4,250.99,74.5,20.00,53.54,10000,6600,40,9000
364,85000,685.4,4,250.99,74.5,20.00,56.94,10000,6600,40,9000
365,85000,548.3,5,250.99,74.5,20.00,77.88,10000,6600,40,9000
